Please note that renewal prices are estimates based on current renewal rates.
DOMAIN,TLD,CREATE DATE,EXPIRE DATE,LOCKED,PRIVACY,AUTO RENEW,NAMESERVERS,AUTH CODE,AUTH CODE CHANGED,EST. RENEWAL PRICE,STATUSES,URL FORWARDS
operation.rodeo,rodeo,"2024-03-02 02:11:12","2026-03-02 02:11:12",yes,yes,no,dns3.p06.nsone.net|dns2.p06.nsone.net|dns1.p06.nsone.net|dns4.p06.nsone.net,N/A,NO,8.75,"clientDeleteProhibited,clientTransferProhibited"
clusterfuck.rodeo,rodeo,"2024-03-02 02:11:13","2026-03-02 02:11:13",yes,yes,no,fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|curitiba.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,8.75,"clientDeleteProhibited,clientTransferProhibited"
subliminal.rodeo,rodeo,"2024-03-02 02:11:14","2026-03-02 02:11:14",yes,yes,no,fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|curitiba.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,8.75,"clientDeleteProhibited,clientTransferProhibited"
laminar.rodeo,rodeo,"2024-03-02 02:11:15","2026-03-02 02:11:15",yes,yes,no,fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|curitiba.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,8.75,"clientDeleteProhibited,clientTransferProhibited"
pborenstein.dev,dev,"2019-03-02 20:04:55","2026-03-02 20:04:55",yes,yes,yes,dns1.p02.nsone.net|dns2.p02.nsone.net|dns3.p02.nsone.net|dns4.p02.nsone.net,N/A,NO,12.87,"clientTransferProhibited,clientDeleteProhibited"
gnmb.dev,dev,"2019-03-02 20:04:55","2026-03-02 20:04:55",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,12.87,"clientDeleteProhibited,clientTransferProhibited"
esther.lol,lol,"2023-03-02 18:37:03","2026-03-02 23:59:59",yes,yes,yes,dns1.p01.nsone.net|dns2.p01.nsone.net|dns3.p01.nsone.net|dns4.p01.nsone.net,N/A,NO,26.26,"clientTransferProhibited,clientDeleteProhibited"
documentation.lol,lol,"2024-03-05 00:48:54","2026-03-05 23:59:59",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,26.26,"clientTransferProhibited,clientDeleteProhibited"
tantamount.dev,dev,"2024-03-08 07:25:31","2026-03-08 07:25:31",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,12.87,"clientDeleteProhibited,clientTransferProhibited"
tantamount.lol,lol,"2024-03-08 07:25:30","2026-03-08 23:59:59",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,26.26,"clientTransferProhibited,clientDeleteProhibited"
pborenstein.lol,lol,"2023-03-16 17:04:03","2026-03-16 23:59:59",yes,yes,yes,abby.ns.cloudflare.com|valentin.ns.cloudflare.com,N/A,NO,26.26,"clientTransferProhibited,clientDeleteProhibited"
joeborenstein.com,com,"2024-03-17 18:21:54","2026-03-17 18:21:54",yes,yes,yes,maceio.ns.porkbun.com|salvador.ns.porkbun.com|fortaleza.ns.porkbun.com|curitiba.ns.porkbun.com,N/A,NO,11.08,"clientDeleteProhibited,clientTransferProhibited"
